Venue,Date,Start Time,End Time,Start DateTime,End DateTime,Title,Image URL,Event URL,Headliner,Supporting Band 1,Supporting Band 2,Supporting Band 3,More Info
924 Gilman,"Fri, June 13",7:30 PM,10:30 PM,2025-06-13 19:30:00-07:00,2025-06-13 22:30:00-07:00,"Febuary, Clay Birds, Holder, Caesura, Alyvia",https://showslinger.s3.amazonaws.com/uploads/ticket/event_image/29059/thumb_preshow.jpeg,https://app.showslinger.com/v/febuary-clay-birds-holder?from=%2Fe1%2F460%2F924-gilman&promo_widget_v3_id=460,Febuary,Clay Birds,Holder,Caesura,"
Febuary: https://febuaryxoxo.bandcamp.com
Genre: Devotional
Tags: emo, screamo, heartfelt, Devotional
Location: Las Vegas, Nevada
Clay Birds: https://claybirds.bandcamp.com
Genre: Experimental
Tags: skramz, lofi, Experimental, screamo, hardcore
Location: Mission Viejo, California
Holder: https://aliholder.bandcamp.com
Genre: Folk
Tags: singer-songwriter, texas, blues, Folk, country
Location: Austin, Texas
Caesura: https://caesuralimited.bandcamp.com
Genre: nan
Tags: nan
Location: Bucharest, Romania"
Eli's Mile High Club,"Sat, June 14",8:00 PM,11:50 PM,2025-06-14 20:00:00-07:00,2025-06-14 23:50:00.255000-07:00,FALSE FIGURE / NYX DIVISION / NO KNOCK / SYMPATHY FLOWERS,https://static.wixstatic.com/media/dceb95_c3a6770539bd48cfa28cc25a1db8a6d8~mv2.jpg,https://www.elismilehighclub.com/event-details/false-figure-nyx-division-no-knock-sympathy-flowers,FALSE FIGURE,NYX DIVISION,NO KNOCK,SYMPATHY FLOWERS,"
FALSE FIGURE: https://falsefigure.bandcamp.com
Genre: Punk
Tags: goth, darkpunk, Punk, deathrock, post-punk
Location: Oakland, California
NYX DIVISION: https://nyxdivision.bandcamp.com
Genre: Rock
Tags: post-punk, Rock, glam rock, rocknroll, Punk, goth
Location: Portland, Oregon
NO KNOCK: https://noknock.bandcamp.com
Genre: Punk
Tags: punk rock, Punk, NYC
Location: New York, New York
SYMPATHY FLOWERS: https://sympathyflowersoakland.bandcamp.com
Genre: Punk
Tags: Dark punk, Anarcho, post-punk, Punk
Location: Oakland, California"
924 Gilman,"Sun, June 15",7:30 PM,10:30 PM,2025-06-15 19:30:00-07:00,2025-06-15 22:30:00-07:00,"Michael Cera Palin, Aren't We Amphibians, Losing Streak",https://showslinger.s3.amazonaws.com/uploads/ticket/event_image/28266/thumb_BLANK_Michael_Cera_Palin_2025_Tour_FB_Banner_1920x1080_v01.jpg,https://app.showslinger.com/v/mcp?from=%2Fe1%2F460%2F924-gilman&promo_widget_v3_id=460,Michael Cera Palin,Aren't We Amphibians,Losing Streak,,"
Michael Cera Palin: https://michaelcerapalin.bandcamp.com
Genre: Punk
Tags: indie, emo, Punk
Location: Atlanta, Georgia
Aren't We Amphibians: https://arentweamphibians.bandcamp.com
Genre: Rock
Tags: emo, math rock, midwest emo, Rock
Location: San Diego, California
Losing Streak: https://losingstreakmusic.bandcamp.com
Genre: Punk
Tags: Pop Punk, Alternative, Punk, Punk Rock, Rock
Location: New Jersey"
Eli's Mile High Club,"Mon, June 16",7:00 PM,11:00 PM,2025-06-16 19:00:29.959000-07:00,2025-06-16 23:00:34.600000-07:00,ELLA PENNEWELL,https://static.wixstatic.com/media/dceb95_0187413e6c8a48b7aeaf0299aa557dea~mv2.jpg,https://www.elismilehighclub.com/event-details/blue-mondays-ella-pennewell-8,ELLA PENNEWELL,,,,"
ELLA PENNEWELL: No Bandcamp found"
Eli's Mile High Club,"Thu, June 19",7:00 PM,11:59 PM,2025-06-19 19:00:00-07:00,2025-06-19 23:59:00-07:00,PERENNIAL / CURLING / FOGLAMP,https://static.wixstatic.com/media/dceb95_c4f727b838a24e63af5680bfdfbc051c~mv2.jpg,https://www.elismilehighclub.com/event-details/perennial-curling-foglamp,PERENNIAL,CURLING,FOGLAMP,,"
PERENNIAL: https://perennialtheband.bandcamp.com
Genre: Experimental
Tags: post-hardcore, Experimental, art-punk, mod
Location: nan
CURLING: https://curling.bandcamp.com
Genre: Rock
Tags: experimental, powerpop, janglepop, indie rock, Rock, shoegaze
Location: Berkeley, California
FOGLAMP: https://foglamp.bandcamp.com
Genre: Punk
Tags: dark-wave, synth-punk, post-punk, punk, Punk, oakland
Location: Oakland, California"
924 Gilman,"Fri, June 20",7:30 PM,10:30 PM,2025-06-20 19:30:00-07:00,2025-06-20 22:30:00-07:00,"Underdog, Stäläg 13, Stand Tall, Discourage",https://showslinger.s3.amazonaws.com/uploads/ticket/event_image/28845/thumb_Underdog_Stalag_13_Gilman_Flyer_20_June_25.jpg,https://app.showslinger.com/v/underdog?from=%2Fe1%2F460%2F924-gilman&promo_widget_v3_id=460,Underdog,Stäläg 13,Stand Tall,Discourage,"
Underdog: https://underdogrecords.bandcamp.com
Genre: nan
Tags: nan
Location: Paris, France
Stäläg 13: https://stalag13.bandcamp.com
Genre: Punk
Tags: 80's hardcorepunk, hardcore, Punk, nardcore, hardcore punk
Location: Oxnard, California
Stand Tall: https://standtallsxe.bandcamp.com
Genre: Punk
Tags: hardcore, youth crew, Punk, Straight Edge Hardcore, straight edge
Location: California
Discourage: https://discourage413.bandcamp.com
Genre: Metal
Tags: hardcore, Metal, california hardcore
Location: Oakland, California"
Eli's Mile High Club,"Fri, June 20",8:00 PM,11:50 PM,2025-06-20 20:00:00-07:00,2025-06-20 23:50:00-07:00,DROUTH AT ELI'S MILE HIGH CLUB,https://static.wixstatic.com/media/303b5c_e5e21848dcec4da2a3e09daa65917436~mv2.jpg,https://www.elismilehighclub.com/event-details/drouth-at-elis-mile-high-club,DROUTH AT ELI'S MILE HIGH CLUB,,,,"
DROUTH AT ELI'S MILE HIGH CLUB: No Bandcamp found"
Eli's Mile High Club,"Sat, June 21",8:00 PM,11:50 PM,2025-06-21 20:00:00-07:00,2025-06-21 23:50:00.915000-07:00,MOLTEN / SAINTBREAKER / SODOMY,https://static.wixstatic.com/media/dceb95_dcf7650b6b5c4122b306c8623d452a15~mv2.jpeg,https://www.elismilehighclub.com/event-details/molten-saintbreaker-sodomy,MOLTEN,SAINTBREAKER,SODOMY,,"
MOLTEN: https://molten666.bandcamp.com
Genre: Metal
Tags: Black Metal, Metal, Heavy Metal, Doom Metal, Thrash Metal, Death Metal
Location: San Francisco, California
SAINTBREAKER: https://saintbreaker.bandcamp.com
Genre: Metal
Tags: hardcore, Metal, death metal, Thrash Metal, Crossover, Grind Core
Location: Mesa, Arizona
SODOMY: https://sodomy408.bandcamp.com
Genre: Metal
Tags: Brutal Death Metal, Metal, Death Grind, Death Metal, Old School Death Metal
Location: San Jose, California"
Eli's Mile High Club,"Mon, June 23",7:00 PM,11:00 PM,2025-06-23 19:00:00-07:00,2025-06-23 23:00:00-07:00,ALDWIN LONDON BAND,https://static.wixstatic.com/media/dceb95_7a70e9b1d9ac4e83b5a7a794f9803312~mv2.jpg,https://www.elismilehighclub.com/event-details/blue-mondays-aldwin-london-band-2,ALDWIN LONDON BAND,,,,"
ALDWIN LONDON BAND: No Bandcamp found"
Eli's Mile High Club,"Thu, June 26",8:00 PM,11:50 PM,2025-06-26 20:00:00-07:00,2025-06-26 23:50:00-07:00,KARAOKE AT ELI'S,https://static.wixstatic.com/media/dceb95_bceb8daed99b47129ed9c3b7e03f4cf5~mv2.png,https://www.elismilehighclub.com/event-details/karaoke-at-elis-19,KARAOKE AT ELI'S,,,,"
KARAOKE AT ELI'S: No Bandcamp found"
Eli's Mile High Club,"Fri, June 27",7:00 PM,11:50 PM,2025-06-27 19:00:00-07:00,2025-06-27 23:50:00-07:00,"ELI'S MILE HIGH BENEFIT SHOW - NECROT, FUNERAL CHANT, ANCIENT RAGE",https://static.wixstatic.com/media/dceb95_64f0815f654344858c423c00a3bbc674~mv2.jpg,https://www.elismilehighclub.com/event-details/elis-mile-high-benefit-show-necrot-funeral-chant-ancient-rage,"ELI'S MILE HIGH BENEFIT SHOW - NECROT, FUNERAL CHANT, ANCIENT RAGE",,,,"
ELI'S MILE HIGH BENEFIT SHOW - NECROT, FUNERAL CHANT, ANCIENT RAGE: No Bandcamp found"
Eli's Mile High Club,"Sat, June 28",8:00 PM,11:50 PM,2025-06-28 20:00:00-07:00,2025-06-28 23:50:00-07:00,"Planning For Burial, Mamaleek, Kathryn Mohr",https://static.wixstatic.com/media/303b5c_3cf41654cf7b42adb410f7cf2034530d~mv2.png,https://www.elismilehighclub.com/event-details/planning-for-burial-mamaleek-kathryn-mohr,"Planning For Burial, Mamaleek, Kathryn Mohr",,,,"
Planning For Burial, Mamaleek, Kathryn Mohr: No Bandcamp found"
924 Gilman,"Sun, June 29",7:30 PM,10:30 PM,2025-06-29 19:30:00-07:00,2025-06-29 22:30:00-07:00,"Manasido, Hot Plug, Burnout, Paperface, On My Side",https://showslinger.s3.amazonaws.com/uploads/ticket/event_image/28881/thumb_JUNE_29.jpg,https://app.showslinger.com/v/hotplug?from=%2Fe1%2F460%2F924-gilman&promo_widget_v3_id=460,Manasido,Hot Plug,Burnout,Paperface,"
Manasido: https://manasido.bandcamp.com
Genre: Alternative
Tags: rock, indie, Alternative, grunge, alternative rock
Location: California
Hot Plug: https://hotplugproducciones.bandcamp.com
Genre: Hip-Hop/Rap
Tags: Electronic, Hip Hop, R&B, Trap, dancehall, Hip-Hop/Rap
Location: Córdoba, Argentina
Burnout: https://burnout.bandcamp.com
Genre: Punk
Tags: hardcore, arizona, noise, metal, Punk, power violence
Location: Phoenix, Arizona
Paperface: https://paperface.bandcamp.com
Genre: Alternative
Tags: Alternative, grunge, Indie, indie rock
Location: Philadelphia, Pennsylvania"
924 Gilman,"Tue, July 01",7:30 PM,10:30 PM,2025-07-01 19:30:00-07:00,2025-07-01 22:30:00-07:00,"Pegboy, Rhythm Collision, Loud Graves, Strangelight",https://showslinger.s3.amazonaws.com/uploads/ticket/event_image/28257/thumb_IMG_9115.jpg,https://app.showslinger.com/v/pegboy?from=%2Fe1%2F460%2F924-gilman&promo_widget_v3_id=460,Pegboy,Rhythm Collision,Loud Graves,Strangelight,"
Pegboy: https://pegboy.bandcamp.com
Genre: Alternative
Tags: Alternative, alternative rock
Location: Chicago, Illinois
Rhythm Collision: https://conroyrossandrhythmcollision.bandcamp.com
Genre: Rock
Tags: Rock
Location: Kelowna, British Columbia
Loud Graves: https://loudgraves.bandcamp.com
Genre: Punk
Tags: Pop Punk, Punk, alternative rock
Location: Oakland, California
Strangelight: https://strangelightoakland.bandcamp.com
Genre: Rock
Tags: punk rock, post-punk, garage rock, Rock
Location: Oakland, California"
924 Gilman,"Sat, July 05",7:30 PM,10:30 PM,2025-07-05 19:30:00-07:00,2025-07-05 22:30:00-07:00,"Samiam, SMOKERS, badvril",https://showslinger.s3.amazonaws.com/uploads/ticket/event_image/29064/thumb_333.jpg,https://app.showslinger.com/v/samiam?from=%2Fe1%2F460%2F924-gilman&promo_widget_v3_id=460,Samiam,SMOKERS,badvril,,"
Samiam: https://itssamiam.bandcamp.com
Genre: Devotional
Tags: Gospel, Devotional
Location: Brooklyn, New York
SMOKERS: https://smokers.bandcamp.com
Genre: Punk
Tags: Detached-Garage, Garage, Proto-Punk, Punk, Pub Rock, Rock
Location: Oakland, California
badvril: https://badvril.bandcamp.com
Genre: Alternative
Tags: rock, indie, Alternative, dream pop, dreamo, shoegaze
Location: San Francisco, California"
924 Gilman,"Fri, July 11",7:30 PM,10:30 PM,2025-07-11 19:30:00-07:00,2025-07-11 22:30:00-07:00,MATHCORE INDEX FEST DAY 1,https://showslinger.s3.amazonaws.com/uploads/ticket/event_image/28182/thumb_IMG_2046.jpeg,https://app.showslinger.com/v/indexday1?from=%2Fe1%2F460%2F924-gilman&promo_widget_v3_id=460,MATHCORE INDEX FEST DAY 1,,,,"
MATHCORE INDEX FEST DAY 1: No Bandcamp found"
924 Gilman,"Sat, July 12",5:00 PM,8:00 PM,2025-07-12 17:00:00-07:00,2025-07-12 20:00:00-07:00,MATHCORE INDEX FEST DAY 2,https://showslinger.s3.amazonaws.com/uploads/ticket/event_image/28183/thumb_IMG_2046.jpeg,https://app.showslinger.com/v/indexday2?from=%2Fe1%2F460%2F924-gilman&promo_widget_v3_id=460,MATHCORE INDEX FEST DAY 2,,,,"
MATHCORE INDEX FEST DAY 2: No Bandcamp found"
924 Gilman,"Thu, July 17",7:30 PM,10:30 PM,2025-07-17 19:30:00-07:00,2025-07-17 22:30:00-07:00,"Dance Myth (Dan Smith of Listener), Derek Zanetti (The Homeless Gospel Choir), Half Calf, Colonel Macabre",https://showslinger.s3.amazonaws.com/uploads/ticket/event_image/29116/thumb_IMG_2401.jpeg,https://app.showslinger.com/v/listener?from=%2Fe1%2F460%2F924-gilman&promo_widget_v3_id=460,Dance Myth (Dan Smith of Listener),Derek Zanetti (The Homeless Gospel Choir),Half Calf,Colonel Macabre,"
Dance Myth (Dan Smith of Listener): No Bandcamp found
Derek Zanetti (The Homeless Gospel Choir): No Bandcamp found
Half Calf: https://halfcalf.bandcamp.com
Genre: Alternative
Tags: queer, Alternative, emo, dreamo
Location: Santa Cruz, California
Colonel Macabre: https://colonelmacabre.bandcamp.com
Genre: Alternative
Tags: alternative, folk, Alternative, San Jose, emo
Location: San Jose, California"
924 Gilman,"Sat, July 19",7:30 PM,10:30 PM,2025-07-19 19:30:00-07:00,2025-07-19 22:30:00-07:00,"Arnocorps, Party Force, Shark in the Water, Crimson Riot",https://showslinger.s3.amazonaws.com/uploads/ticket/event_image/29084/thumb_JULY_19th.jpeg,https://app.showslinger.com/v/arnocorps?from=%2Fe1%2F460%2F924-gilman&promo_widget_v3_id=460,Arnocorps,Party Force,Shark in the Water,Crimson Riot,"
Arnocorps: https://arnocorps.bandcamp.com
Genre: Punk
Tags: hardcore, punk, rock, hardcore, hardcore, punk, rock, hardcore, punk, Punk
Location: San Francisco, California
Party Force: https://partyforce.bandcamp.com
Genre: Punk
Tags: drunk-n-roll, family friendly, Punk, hardcore punk
Location: Oakland, California
Shark in the Water: https://sharkinthewater.bandcamp.com
Genre: Rock
Tags: Rock, Surf Rock, Hard Rock, surf
Location: Oakland, California
Crimson Riot: https://crimsonriot.bandcamp.com
Genre: Punk
Tags: Pop Punk, Punk
Location: Las Vegas, Nevada"
924 Gilman,"Sat, July 26",6:30 PM,9:30 PM,2025-07-26 18:30:00-07:00,2025-07-26 21:30:00-07:00,"Planet Booty, The Maraschinos, Stay Out, Opus, Mugslug, East Brothers, Average Royalty",https://showslinger.s3.amazonaws.com/uploads/ticket/event_image/29236/thumb_Picsart_25-05-22_10-19-57-450.png,https://app.showslinger.com/v/planetb?from=%2Fe1%2F460%2F924-gilman&promo_widget_v3_id=460,Planet Booty,The Maraschinos,Stay Out,Opus,"
Planet Booty: https://planetbooty.bandcamp.com
Genre: Pop
Tags: dance, Nu Disco, booty, R&B, talkbox, Pop
Location: California
The Maraschinos: No Bandcamp found
Stay Out: https://stayout.bandcamp.com
Genre: Punk
Tags: Pop Punk, Alternative, Punk, Punk Rock
Location: California
Opus: https://opussnd.bandcamp.com
Genre: Electronic
Tags: Minimal, Microhouse, Deep Tech, Techno, Deep House, Electronic
Location: Romania"
924 Gilman,"Wed, July 30",7:30 PM,10:30 PM,2025-07-30 19:30:00-07:00,2025-07-30 22:30:00-07:00,"Beau Navire, Nuvolascura, Mau, With Open Arms",https://showslinger.s3.amazonaws.com/uploads/ticket/event_image/29088/thumb_JULY_30.jpg,https://app.showslinger.com/v/beau?from=%2Fe1%2F460%2F924-gilman&promo_widget_v3_id=460,Beau Navire,Nuvolascura,Mau,With Open Arms,"
Beau Navire: https://beaunavire.bandcamp.com
Genre: Ambient
Tags: emoviolence, hardcore, Ambient, flowerviolence, post-punk, emo
Location: Oakland, California
Nuvolascura: https://nuvolascura.bandcamp.com
Genre: Punk
Tags: hardcore, Los Angeles, Punk, sacrificial art
Location: Los Angeles, California
Mau: https://mau5trap.bandcamp.com
Genre: nan
Tags: nan
Location: Los Angeles, California
With Open Arms: https://withopenarmsbanduk.bandcamp.com
Genre: Metal
Tags: Metal, melodic hardcore, metallic hardcore, Metalcore, hardcore
Location: Kent, UK"
924 Gilman,"Fri, August 01",7:00 PM,10:00 PM,2025-08-01 19:00:00-07:00,2025-08-01 22:00:00-07:00,Sell The Heart Records 15th Anniversary (Night 1),https://showslinger.s3.amazonaws.com/uploads/ticket/event_image/28911/thumb_Night_1_Bands.jpg,https://app.showslinger.com/v/sell-the-heart-records-an?from=%2Fe1%2F460%2F924-gilman&promo_widget_v3_id=460,Sell The Heart Records 15th Anniversary (Night 1),,,,"
Sell The Heart Records 15th Anniversary (Night 1): No Bandcamp found"
924 Gilman,"Sat, August 02",7:00 PM,10:00 PM,2025-08-02 19:00:00-07:00,2025-08-02 22:00:00-07:00,Sell The Heart Records 15th Anniversary (Night 2),https://showslinger.s3.amazonaws.com/uploads/ticket/event_image/28912/thumb_Night_2_Bands.jpg,https://app.showslinger.com/v/sell-the-heart-records-an-28912?from=%2Fe1%2F460%2F924-gilman&promo_widget_v3_id=460,Sell The Heart Records 15th Anniversary (Night 2),,,,"
Sell The Heart Records 15th Anniversary (Night 2): No Bandcamp found"
924 Gilman,"Sat, September 13",7:30 PM,10:30 PM,2025-09-13 19:30:00-07:00,2025-09-13 22:30:00-07:00,924 Gilman Presents Beach Fossils,https://showslinger.s3.amazonaws.com/uploads/ticket/event_image/29043/thumb_BEACH_FOSSILS_--_FALL_2025_ADMAT_--_LOCALIZED__SQUARE__copy.jpg,https://app.showslinger.com/v/beachfossils?from=%2Fe1%2F460%2F924-gilman&promo_widget_v3_id=460,924 Gilman Presents Beach Fossils,,,,"
924 Gilman Presents Beach Fossils: No Bandcamp found"
924 Gilman,"Sun, October 19",7:00 PM,10:00 PM,2025-10-19 19:00:00-07:00,2025-10-19 22:00:00-07:00,"Earth Crisis, Integrity, Judge, Witness Chamber, Opposing Force",https://showslinger.s3.amazonaws.com/uploads/ticket/event_image/28427/thumb_IMG_1882.jpeg,https://app.showslinger.com/v/earthcrisis?from=%2Fe1%2F460%2F924-gilman&promo_widget_v3_id=460,Earth Crisis,Integrity,Judge,Witness Chamber,"
Earth Crisis: https://earthcrisis.bandcamp.com
Genre: Metal
Tags: Metal, straight edge, Hardcore, xvx, vegan
Location: Syracuse, New York
Integrity: https://integrity.bandcamp.com
Genre: Metal
Tags: aaron melnick, hardcore, Metal, dwid hellion, Holy Terror, Integrity
Location: Belgium
Judge: https://judge.bandcamp.com
Genre: Punk
Tags: punk rock, hardcore, punk, hardcore punk, Punk, straight edge
Location: New York, New York
Witness Chamber: No Bandcamp found"
